date,articleNo,title,type,deposit,rent,area_m2,floor,address,roadAddress,jibunAddress,manageFee,availableDate,options,imagesCount,description,realtor,postedYmd,updatedYmd,link
"2025-09-16","2549389711","일반원룸","원룸","5,000","60","29.7","3/14","","","","11만원","즉시입주","","3","","딱부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2549389711"
"2025-09-16","2550128856","일반원룸","원룸","500","40","16.5","고/9","","","","15만원","즉시입주 협의 가능","","3","","153공인중개사사무소","","","https://m.land.naver.com/article/info/2550128856"
"2025-09-16","2550042676","도시형생활주택","원룸","3,000","43","16.54","10/14","","","","9만원","2025년 09월 중순 협의 가능","o까치산역 도보거리o 사이즈 굿
집주인
확인매물 2025. 09. 15.
기본 정보
보증금/월세
3,000
/
43만원
융자금
없음","3","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2550042676"
"2025-09-16","2549961684","일반원룸","원룸","1,000","57","16.5","2/4","","","","7만원","2025년 09월 27일 협의 가능","원룸
집주인
확인매물 2025. 09. 15.
기본 정보
보증금/월세
1,000
/
57만원","3","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2549961684"
"2025-09-16","2550011044","일반원룸","원룸","5,000","60","33","3/14","","","","11만원","즉시입주 협의 가능",": 풀","3","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2550011044"
"2025-09-16","2549657373","일반원룸","원룸","3,000","40","19","3/3","","","","8만원","2025년 11월 중순 협의 가능","분리형 원룸
집주인
확인매물 2025. 09. 13.
기본 정보
보증금/월세
3,000
/
40만원","3","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2549657373"
"2025-09-16","2549750794","일반원룸","원룸","5,000","60","33","3/14","","","","11만원","즉시입주 협의 가능","","3","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2549750794"
"2025-09-16","2549418897","기타","원룸","1,000","110","28.46","9/12","","","","10만원","즉시입주","넓은 테라스
집주인
확인매물 2025. 09. 12.
기본 정보
보증금/월세
1,000
/
110만원","3","","로얄공인중개사사무소","","","https://m.land.naver.com/article/info/2549418897"
"2025-09-16","2549748695","도시형생활주택","원룸","9,800","20","12.85","7/12","","","","6만 5,000원","2025년 10월 23일 협의 가능","원룸
집주인
확인매물 2025. 09. 13.
기본 정보
보증금/월세
9,800
/
20만원","1","","그린공인중개사사무소","","","https://m.land.naver.com/article/info/2549748695"
"2025-09-16","2549395486","일반원룸","원룸","1,000","50","18","1/5","","","","없음","즉시입주 협의 가능","신정역도보3분, 매우깔끔
집주인
확인매물 2025. 09. 11.
기본 정보
보증금/월세
1,000
/
50만원
융자금
없음","3","","김소윤부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2549395486"
"2025-09-16","2549303977","도시형생활주택","원룸","2,000","60","14.02","14/15","","","","10만원","2025년 10월 30일 협의 가능","입니다.
-대로변에","3","","신정사거리공인중개사사무소","","","https://m.land.naver.com/article/info/2549303977"
"2025-09-16","2549498836","도시형생활주택","원룸","1억","20","13.67","5/12","","","","6만 5,000원","2025년 09월 30일 협의 가능","원룸
집주인
확인매물 2025. 09. 12.
기본 정보
보증금/월세
1억
/
20만원","3","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2549498836"
"2025-09-16","2549101631","오피스텔","원룸","1,000","42","23.76","저/6","","","","4만원","2025년 09월 30일 협의 가능","원룸 전입 가능해요. 9월말 협의
집주인
확인매물 2025. 09. 10.
기본 정보
보증금/월세
1,000
/
42만원","3","","래미안공인중개사사무소","","","https://m.land.naver.com/article/info/2549101631"
